,name,losses,wins
124,Jerzy Janowicz,"['Alexandr Dolgopolov', 'Marsel Ilhan', 'Ivo Karlovic', 'Diego Sebastian Schwartzman', 'David Goffin', 'Leonardo Mayer', 'Kei Nishikori', 'Pablo Carreno Busta', 'Steve Johnson', 'Feliciano Lopez', 'Steve Darcis', 'Kevin Anderson', 'Pablo Cuevas', 'Joao Sousa', 'Grigor Dimitrov', 'Richard Gasquet', 'Fabio Fognini', 'David Goffin', 'Philipp Kohlschreiber', 'Lucas Pouille', 'Philipp Kohlschreiber', 'Leonardo Mayer']","['Gael Monfils', 'Jared Donaldson', 'Edouard Roger Vasselin', 'Roberto Bautista Agut', 'Nick Kyrgios', 'Pablo Cuevas', 'Alejandro Falla', 'Dominic Thiem', 'Hiroki Moriya', 'Gael Monfils', 'Andrea Arnaboldi', 'Lukas Rosol', 'Taro Daniel', 'Dustin Brown', 'Benoit Paire', 'Gilles Simon', 'Joao Sousa', 'Dustin Brown', 'Benoit Paire', 'Maxime Hamou']"
125,Jesse Huta Galung,['Stanislas Wawrinka'],['Bye']
126,Jimmy Wang,['John Isner'],['Bye']
127,Jiri Vesely,"['Gilles Simon', 'Fabio Fognini', 'Thomaz Bellucci', 'Alexandr Dolgopolov', 'James Ward', 'Andreas Haider Maurer', 'Marcos Baghdatis', 'Federico Delbonis', 'Mikhail Kukushkin', 'John Isner', 'Tomas Berdych', 'Guillermo Garcia Lopez', 'Kevin Anderson', 'Fabio Fognini', 'Leonardo Mayer', 'Nicolas Almagro', 'Viktor Troicki', 'Blaz Rola', 'Thomaz Bellucci', 'Philipp Kohlschreiber', 'Rafael Nadal', 'Marin Cilic', 'Kei Nishikori', 'Juan Monaco', 'Pablo Cuevas', 'Daniel Gimeno Traver', 'Richard Gasquet', 'Leonardo Mayer']","['Yasutaka Uchiyama', 'Paolo Lorenzi', 'N Vijay Sundar Prashanth', 'Paolo Lorenzi', 'Ivo Karlovic', 'Ze Zhang', 'Zhizhen Zhang', 'Diego Sebastian Schwartzman', 'Malek Jaziri', 'Ivo Karlovic', 'Daniel Gimeno Traver', 'Gerald Melzer', 'Tim Smyczek', 'Martin Klizan', 'Andreas Haider Maurer', 'Ernests Gulbis', 'Mikhail Youzhny', 'Aljaz Bedene', 'Thomaz Bellucci', 'Ernests Gulbis', 'Donald Young', 'Kevin Anderson', 'Adrian Mannarino']"
128,Jo Wilfried Tsonga,"['Fernando Verdasco', 'Novak Djokovic', 'Tomas Berdych', 'Marcel Granollers', 'Ivo Karlovic', 'Andy Murray', 'Gael Monfils', 'Marin Cilic', 'Lukas Rosol', 'Steve Johnson', 'Tomas Berdych', 'David Goffin', 'Marin Cilic', 'Andreas Haider Maurer', 'Stanislas Wawrinka']","['Tommy Robredo', 'Victor Estrella', 'Albert Ramos', 'Kevin Anderson', 'Rafael Nadal', 'Roberto Bautista Agut', 'Gilles Muller', 'Albert Ramos', 'Borna Coric', 'Roberto Bautista Agut', 'Bernard Tomic', 'Tim Smyczek', 'Jarkko Nieminen', 'Marcel Granollers', 'Sergiy Stakhovsky', 'Benoit Paire', 'Tommy Haas', 'Denis Istomin', 'Lukas Rosol', 'Jack Sock', 'Sam Querrey', 'Jan Lennard Struff', 'David Goffin', 'Mischa Zverev', 'Nicolas Mahut', 'Philipp Kohlschreiber', 'Gilles Simon', 'Christian Lindell', 'Dudi Sela', 'Pablo Andujar', 'Tomas Berdych', 'Kei Nishikori']"
129,Joao Sousa,"['Austin Krajicek', 'Dominic Thiem', 'Marin Cilic', 'Fabio Fognini', 'Santiago Giraldo', 'Stanislas Wawrinka', 'Bernard Tomic', 'Grigor Dimitrov', 'Gilles Simon', 'Ivan Dodig', 'Albert Ramos', 'Illya Marchenko', 'Andy Murray', 'Ricardas Berankis', 'Feliciano Lopez', 'David Goffin', 'Gilles Simon', 'Andy Murray', 'Pablo Carreno Busta', 'Stanislas Wawrinka', 'John Isner', 'Jerzy Janowicz', 'Milos Raonic', 'Daniel Gimeno Traver', 'Steve Johnson', 'Dominic Thiem', 'Thomaz Bellucci', 'Rui Machado', 'Milos Raonic', 'Andy Murray']","['Feliciano Lopez', 'Toni Androic', 'Andreas Seppi', 'Fabio Fognini', 'Roberto Bautista Agut', 'Philipp Kohlschreiber', 'Kenny De Schepper', 'Michal Przysiezny', 'Denis Istomin', 'James Mcgee', 'Henri Laaksonen', 'Denis Istomin', 'Samuel Groth', 'Jordan Thompson', 'Martin Klizan', 'Gilles Muller', 'Benoit Paire', 'Pablo Cuevas', 'Vasek Pospisil', 'Roberto Bautista Agut', 'Jerzy Janowicz', 'Laurent Lokoli', 'Tobias Kamke', 'Philipp Kohlschreiber', 'Edouard Roger Vasselin', 'Joao Souza', 'Jurgen Melzer', 'Pablo Andujar', 'Federico Delbonis', 'Radu Albot', 'Marcel Granollers', 'Simone Bolelli', 'Dominic Thiem', 'Vasek Pospisil']"
130,Joao Souza,"['Mikhail Kukushkin', 'Santiago Giraldo', 'Alejandro Falla', 'Novak Djokovic', 'Andreas Haider Maurer', 'Stephane Robert', 'Andreas Haider Maurer', 'Ivan Dodig', 'Christian Lindell', 'Malek Jaziri', 'Pablo Andujar', 'Luca Vanni', 'Andreas Seppi', 'Jack Sock', 'Joao Sousa', 'Daniel Gimeno Traver']","['Facundo Arguello', 'Blaz Rola', 'Pablo Carreno Busta', 'Martin Klizan', 'Leonardo Mayer', 'Malek Jaziri']"
131,John Isner,"['Sam Querrey', 'Andy Murray', 'David Ferrer', 'Marin Cilic', 'Jeremy Chardy', 'Dominic Thiem', 'Novak Djokovic', 'Novak Djokovic', 'Sam Querrey', 'Roger Federer', 'Ernests Gulbis', 'Viktor Troicki', 'Rajeev Ram', 'Gilles Muller', 'Kei Nishikori', 'Tomas Berdych', 'Rafael Nadal', 'Rafael Nadal', 'Teymuraz Gabashvili', 'Novak Djokovic', 'Marinko Matosevic', 'Jack Sock', 'Jeremy Chardy']","['Adrian Mannarino', 'David Goffin', 'Aljaz Bedene', 'Roger Federer', 'Go Soeda', 'Matthew Ebden', 'Benjamin Becker', 'Vasek Pospisil', 'Nick Kyrgios', 'Steve Johnson', 'Dusan Lajovic', 'Jurgen Melzer', 'Kevin Anderson', 'Andrey Rublev', 'Grigor Dimitrov', 'Milos Raonic', 'Kei Nishikori', 'Ivan Dodig', 'Malek Jaziri', 'Mikhail Youzhny', 'Jiri Vesely', 'Kenny De Schepper', 'Jared Donaldson', 'Feliciano Lopez', 'Jimmy Wang', 'Andreas Haider Maurer', 'Victor Estrella', 'Vasek Pospisil', 'Ricardas Berankis', 'Steve Johnson', 'Radek Stepanek', 'Ricardas Berankis', 'Denis Kudla', 'Marcos Baghdatis', 'Adrian Mannarino', 'Thomaz Bellucci', 'Nick Kyrgios', 'Joao Sousa', 'Leonardo Mayer', 'Steve Johnson', 'Viktor Troicki', 'Dominic Thiem', 'John Millman', 'Ernests Gulbis', 'Andreas Seppi']"
132,John Millman,"['Gilles Muller', 'Marcos Baghdatis', 'Roger Federer', 'Alexander Sarkissian', 'Sergiy Stakhovsky', 'Marin Cilic', 'Leonardo Mayer', 'Philipp Kohlschreiber', 'John Isner']","['Benjamin Becker', 'Tommy Robredo', 'Rhyne Williams', 'Ernests Gulbis', 'Tommy Robredo']"
133,John Patrick Smith,"['Kenny De Schepper', 'Mikhail Youzhny', 'Rajeev Ram', 'Lleyton Hewitt', 'Kevin Anderson']","['Bernard Tomic', 'Jared Donaldson', 'Tatsuma Ito']"
134,Jordan Thompson,['Joao Sousa'],['Bye']
135,Jose Rubin Statham,['Alejandro Falla'],['Bye']
136,Juan Martin Del Potro,"['Vasek Pospisil', 'Mikhail Kukushkin']","['Sergiy Stakhovsky', 'Fabio Fognini']"
137,Juan Monaco,"['Martin Klizan', 'Nick Kyrgios', 'Leonardo Mayer', 'Thanasi Kokkinakis', 'Tomas Berdych', 'David Ferrer', 'Denis Istomin', 'Robin Haase', 'Simone Bolelli', 'Alexander Zverev', 'Rafael Nadal', 'Lucas Pouille', 'Milos Raonic', 'Stanislas Wawrinka', 'Stanislas Wawrinka', 'Thiemo De Bakker', 'Blaz Kavcic', 'Yen Hsun Lu', 'Teymuraz Gabashvili']","['Alejandro Gonzalez', 'Florian Mayer', 'Benoit Paire', 'Sam Querrey', 'Teymuraz Gabashvili', 'Marin Cilic', 'Ruben Bemelmans', 'Ernests Gulbis', 'Guillermo Garcia Lopez', 'Fernando Verdasco', 'Santiago Giraldo', 'Jarkko Nieminen', 'Maximo Gonzalez', 'Leonardo Mayer', 'Pablo Cuevas', 'Nicolas Almagro', 'Ernests Gulbis', 'Nicolas Almagro', 'Dusan Lajovic', 'Jiri Vesely', 'Federico Delbonis']"
138,Julian Reister,"['Feliciano Lopez', 'Alexander Zverev']",['Blaz Kavcic']
139,Julien Benneteau,"['Jeremy Chardy', 'Albert Ramos', 'Thanasi Kokkinakis', 'Leonardo Mayer', 'Benjamin Becker']",['Vasek Pospisil']
140,Jurgen Melzer,"['Diego Sebastian Schwartzman', 'John Isner', 'Jeremy Chardy', 'Martin Klizan', 'David Goffin', 'Tomas Berdych', 'Nicolas Almagro', 'Tomas Berdych', 'Marcel Granollers', 'Joao Sousa', 'Andrey Kuznetsov']","['Steve Darcis', 'Dennis Novikov', 'Ryan Harrison', 'Kenny De Schepper', 'Denis Kudla', 'Daniel Gimeno Traver', 'Victor Estrella', 'Damir Dzumhur', 'Adrian Mannarino']"
141,Jurgen Zopp,"['Dusan Lajovic', 'Dudi Sela']",['Bye']
142,Kei Nishikori,"['Benoit Paire', 'Kevin Anderson', 'Richard Gasquet', 'Santiago Giraldo', 'Andy Murray', 'Feliciano Lopez', 'John Isner', 'Milos Raonic', 'Andreas Seppi', 'Benoit Paire', 'Stanislas Wawrinka', 'David Ferrer', 'Andy Murray', 'Novak Djokovic', 'Jo Wilfried Tsonga', 'Novak Djokovic', 'Roger Federer']","['Borna Coric', 'Sam Querrey', 'Marin Cilic', 'Nick Kyrgios', 'Jeremy Chardy', 'Teymuraz Gabashvili', 'Santiago Giraldo', 'Roberto Bautista Agut', 'Martin Klizan', 'Pablo Andujar', 'Simone Bolelli', 'Pablo Andujar', 'David Goffin', 'Rafael Nadal', 'Ryan Harrison', 'Fernando Verdasco', 'Mikhail Youzhny', 'Viktor Troicki', 'David Goffin', 'Ryan Harrison', 'Austin Krajicek', 'Sam Querrey', 'Kevin Anderson', 'Steve Johnson', 'Bernard Tomic', 'Dominic Thiem', 'Dustin Brown', 'Jerzy Janowicz', 'Nicolas Almagro', 'Ivan Dodig', 'Steve Johnson', 'David Ferrer', 'Alejandro Gonzalez', 'Yen Hsun Lu', 'Alexandr Dolgopolov', 'Kevin Anderson', 'James Duckworth', 'Leonardo Mayer', 'Samuel Groth', 'Marin Cilic', 'John Isner', 'David Goffin', 'Roberto Bautista Agut', 'David Ferrer', 'Jiri Vesely', 'Viktor Troicki', 'Paul Henri Mathieu', 'Thomaz Bellucci', 'Teymuraz Gabashvili', 'Tomas Berdych']"
143,Kenny De Schepper,"['Joao Sousa', 'Richard Gasquet', 'Jurgen Melzer', 'John Isner', 'Paul Henri Mathieu', 'Lukas Rosol', 'Gael Monfils', 'Edouard Roger Vasselin', 'Alejandro Falla', 'Richard Gasquet']","['John Patrick Smith', 'Marsel Ilhan', 'Santiago Giraldo', 'Gastao Elias']"
144,Kevin Anderson,"['Gilles Muller', 'Roger Federer', 'Jo Wilfried Tsonga', 'Rafael Nadal', 'Novak Djokovic', 'Lukas Rosol', 'John Isner', 'Andy Murray', 'Kei Nishikori', 'Lukasz Kubot', 'Stanislas Wawrinka', 'Steve Johnson', 'Andy Murray', 'Rafael Nadal', 'Kei Nishikori', 'Alexander Zverev', 'Simone Bolelli', 'Roger Federer', 'Jack Sock', 'Jiri Vesely', 'Guillermo Garcia Lopez', 'Yen Hsun Lu', 'Donald Young', 'Richard Gasquet']","['Leonardo Mayer', 'Jack Sock', 'Tommy Haas', 'Fabio Fognini', 'Kei Nishikori', 'Dominic Thiem', 'Lucas Pouille', 'Marsel Ilhan', 'Leonardo Mayer', 'Federico Delbonis', 'Sam Querrey', 'Leonardo Mayer', 'Samuel Groth', 'Steve Johnson', 'Donald Young', 'Andrey Rublev', 'Austin Krajicek', 'Dominic Thiem', 'Andy Murray', 'Andreas Haider Maurer', 'Jiri Vesely', 'Lleyton Hewitt', 'Stanislas Wawrinka', 'Guillermo Garcia Lopez', 'Gilles Simon', 'Diego Sebastian Schwartzman', 'Ricardas Berankis', 'Richard Gasquet', 'Dustin Brown', 'Steve Johnson', 'Viktor Troicki', 'Mikhail Kukushkin', 'Jerzy Janowicz', 'Borna Coric', 'Malek Jaziri', 'Pierre Hugues Herbert', 'Florian Mayer', 'Philipp Kohlschreiber', 'Federico Delbonis', 'Jeremy Chardy', 'Jan Lennard Struff', 'Steve Johnson', 'John Patrick Smith', 'Borna Coric', 'Tim Smyczek', 'Yen Hsun Lu']"
145,Kimmer Coppejans,"['Thomaz Bellucci', 'Santiago Giraldo', 'Nicolas Mahut']",['Bye']
146,Konstantin Kravchuk,['Adrian Mannarino'],['Bye']
147,Kyle Edmund,"['Alexandr Dolgopolov', 'Robin Haase', 'Malek Jaziri', 'Steve Johnson']",['Stephane Robert']
148,Lamine Ouahab,['Daniel Gimeno Traver'],"['Robin Haase', 'Guillermo Garcia Lopez']"
149,Laslo Djere,['Dusan Lajovic'],['Bye']
150,Laurent Lokoli,"['Andreas Haider Maurer', 'Joao Sousa']",['Bye']
151,Leonardo Mayer,"['Gilles Simon', 'Kevin Anderson', 'Gilles Simon', 'Richard Gasquet', 'Pablo Andujar', 'Kevin Anderson', 'Jeremy Chardy', 'Dominic Thiem', 'Kevin Anderson', 'Mikhail Kukushkin', 'Roger Federer', 'Blaz Rola', 'Denis Istomin', 'Viktor Troicki', 'Juan Monaco', 'Kei Nishikori', 'Milos Raonic', 'John Isner', 'Joao Souza', 'Andreas Seppi', 'Nicolas Almagro', 'Teymuraz Gabashvili', 'Marin Cilic']","['Maximilian Marterer', 'Yan Bai', 'Martin Klizan', 'Thanasi Kokkinakis', 'Marcel Granollers', 'Hyeon Chung', 'Lucas Pouille', 'Juan Monaco', 'Borna Coric', 'Jarkko Nieminen', 'Benjamin Becker', 'Jerzy Janowicz', 'Julien Benneteau', 'Hyeon Chung', 'Jiri Vesely', 'John Millman', 'Stephane Robert', 'Blaz Rola', 'Gilles Muller', 'Feliciano Lopez', 'Federico Gaio', 'Albert Ramos', 'Jiri Vesely', 'Jerzy Janowicz']"
152,Liam Broady,['David Goffin'],['Marinko Matosevic']
153,Lleyton Hewitt,"['Jarkko Nieminen', 'Thomaz Bellucci', 'Samuel Groth', 'Nicolas Mahut', 'Bernard Tomic', 'Kevin Anderson', 'Benjamin Becker', 'Feliciano Lopez', 'Go Soeda']","['Aleksandr Nedovyesov', 'Ze Zhang', 'John Patrick Smith']"
154,Lorenzo Giustino,['Guillermo Garcia Lopez'],['Bye']
155,Luca Vanni,"['James Ward', 'Dusan Lajovic', 'Ricardas Berankis', 'Albert Ramos', 'Simone Bolelli', 'Nicolas Almagro', 'Pablo Cuevas', 'Simone Bolelli', 'Bernard Tomic']","['Bernard Tomic', 'Thiemo De Bakker', 'Dusan Lajovic', 'Joao Souza']"
156,Lucas Miedler,['Ernests Gulbis'],['Bye']
157,Lucas Pouille,"['Jeremy Chardy', 'Kevin Anderson', 'Leonardo Mayer', 'Simone Bolelli', 'Evgeny Donskoy', 'Adrian Mannarino', 'Gael Monfils', 'Fabio Fognini', 'Richard Gasquet', 'Rafael Nadal', 'Roberto Bautista Agut', 'Adrian Mannarino', 'Roberto Bautista Agut', 'Gilles Simon']","['Tim Smyczek', 'Inigo Cervantes Huegun', 'Juan Monaco', 'Benoit Paire', 'Alexander Kudryavtsev', 'Dominic Thiem', 'Simone Bolelli', 'Daniel Gimeno Traver', 'Michael Venus', 'Albert Ramos', 'Ricardas Berankis', 'Jerzy Janowicz']"
158,Lukas Lacko,"['Steve Johnson', 'Aljaz Bedene', 'Ivo Karlovic', 'Alejandro Falla', 'Marcel Granollers', 'Jack Sock', 'Grigor Dimitrov', 'Ricardas Berankis', 'Steve Johnson', 'Steve Johnson', 'Denis Kudla', 'David Ferrer']","['Niels Desein', 'Maximo Gonzalez']"
159,Lukas Rosol,"['Damir Dzumhur', 'Grigor Dimitrov', 'Rafael Nadal', 'Pablo Andujar', 'Ernests Gulbis', 'Simone Bolelli', 'Tomas Berdych', 'David Ferrer', 'Gael Monfils', 'Sergiy Stakhovsky', 'Philipp Kohlschreiber', 'Guillermo Garcia Lopez', 'Guillermo Garcia Lopez', 'Gael Monfils', 'Dudi Sela', 'Jerzy Janowicz', 'Andy Murray', 'Simone Bolelli', 'Jo Wilfried Tsonga', 'Jeremy Chardy', 'Bernard Tomic', 'Ivo Karlovic', 'Sergiy Stakhovsky', 'Stanislas Wawrinka', 'Marcos Baghdatis', 'David Ferrer', 'Rafael Nadal', 'Teymuraz Gabashvili']","['Guillermo Garcia Lopez', 'Ernests Gulbis', 'Kevin Anderson', 'Martin Klizan', 'Robin Haase', 'Alexander Zverev', 'Jared Donaldson', 'Denis Istomin', 'Dusan Lajovic', 'Yuichi Sugita', 'Jo Wilfried Tsonga', 'Kenny De Schepper', 'Ernests Gulbis', 'Florian Mayer', 'Sergiy Stakhovsky', 'Yen Hsun Lu', 'Aljaz Bedene', 'Elias Ymer', 'Roberto Bautista Agut']"
160,Lukasz Kubot,"['Jack Sock', 'Samuel Groth']",['Kevin Anderson']
161,Luke Saville,"['Richard Gasquet', 'Tim Smyczek']",['Bye']
162,Malek Jaziri,"['James Duckworth', 'Gilles Simon', 'Steve Darcis', 'Ryan Harrison', 'Adrian Mannarino', 'Borna Coric', 'John Isner', 'Jiri Vesely', 'Ivo Karlovic', 'Dominic Thiem', 'Nick Kyrgios', 'Kevin Anderson', 'Gilles Muller', 'Yen Hsun Lu', 'Denis Istomin', 'Joao Souza', 'Daniel Gimeno Traver', 'Ricardas Berankis', 'Bernard Tomic', 'Andrey Kuznetsov']","['Tatsuma Ito', 'Austin Krajicek', 'Alexander Sarkissian', 'Florian Mayer', 'Ante Pavic', 'Kyle Edmund', 'Mikhail Kukushkin', 'Edouard Roger Vasselin', 'Joao Souza', 'Viktor Troicki', 'Teymuraz Gabashvili', 'Thomaz Bellucci']"
163,Marcel Granollers,"['Borna Coric', 'Aljaz Bedene', 'Tommy Robredo', 'Leonardo Mayer', 'Sergiy Stakhovsky', 'Andreas Haider Maurer', 'Steve Johnson', 'Hyeon Chung', 'Jo Wilfried Tsonga', 'Robin Haase', 'Gilles Simon', 'Gilles Simon', 'Marinko Matosevic', 'Andrey Rublev', 'Andreas Seppi', 'Andy Murray', 'Roberto Bautista Agut', 'Tommy Robredo', 'Damir Dzumhur', 'Joao Sousa', 'Roger Federer']","['Marinko Matosevic', 'Jo Wilfried Tsonga', 'Janko Tipsarevic', 'Lukas Lacko', 'Vasek Pospisil', 'Stephane Robert', 'Jurgen Melzer', 'Ivan Dodig', 'Igor Sijsling', 'Martin Klizan', 'Gael Monfils', 'Adrian Mannarino', 'Thanasi Kokkinakis', 'Matthias Bachinger']"
164,Marcelo Demoliner,['Michael Berrer'],['Illya Marchenko']
165,Marco Cecchinato,"['Mardy Fish', 'Jarkko Nieminen', 'Facundo Bagnis', 'Aljaz Bedene']",['Bye']
166,Marco Chiudinelli,"['Adrian Mannarino', 'Federico Delbonis', 'Marin Cilic']",['Benoit Paire']
167,Marcos Baghdatis,"['Benoit Paire', 'Tomas Berdych', 'David Goffin', 'Vasek Pospisil', 'Novak Djokovic', 'Simone Bolelli', 'Alejandro Gomez GB42', 'Borna Coric', 'Steve Darcis', 'Guillermo Garcia Lopez', 'Denis Istomin', 'Grigor Dimitrov', 'Pierre Hugues Herbert', 'Guillermo Garcia Lopez', 'John Isner', 'Thomaz Bellucci', 'Rafael Nadal', 'Tommy Robredo', 'Damir Dzumhur']","['Fernando Verdasco', 'Sam Querrey', 'Bernard Tomic', 'Gilles Muller', 'Donald Young', 'John Millman', 'Nicolas Almagro', 'Jiri Vesely', 'David Goffin', 'Steve Darcis', 'Victor Estrella', 'David Ferrer', 'Alexander Zverev', 'Simone Bolelli', 'Teymuraz Gabashvili', 'David Goffin', 'Toni Androic', 'Ivo Karlovic', 'Mikhail Youzhny', 'Austin Krajicek', 'Samuel Groth', 'Vasek Pospisil', 'Gilles Muller', 'Lukas Rosol', 'Ernests Gulbis', 'Ivo Karlovic']"
168,Mardy Fish,"['Andy Murray', 'Ryan Harrison', 'Feliciano Lopez', 'Dudi Sela']","['Viktor Troicki', 'Marco Cecchinato']"
169,Marin Cilic,"['Kei Nishikori', 'Richard Gasquet', 'Stanislas Wawrinka', 'Grigor Dimitrov', 'Victor Estrella', 'Novak Djokovic', 'Bernard Tomic', 'Juan Monaco', 'Novak Djokovic', 'Guillermo Garcia Lopez', 'Viktor Troicki', 'Kei Nishikori', 'Fernando Verdasco', 'Guillermo Garcia Lopez', 'Novak Djokovic', 'Santiago Giraldo', 'Viktor Troicki', 'Rafael Nadal', 'David Ferrer']","['Donald Young', 'Steve Johnson', 'Joao Sousa', 'Di Wu', 'Borna Coric', 'Hiroki Moriya', 'Ricardas Berankis', 'John Isner', 'Denis Kudla', 'Guido Pella', 'Evgeny Donskoy', 'Mikhail Kukushkin', 'Jeremy Chardy', 'Jo Wilfried Tsonga', 'John Millman', 'Hyeon Chung', 'Adrian Mannarino', 'Hyeon Chung', 'Sam Querrey', 'Alexander Zverev', 'Jiri Vesely', 'Florian Mayer', 'Jo Wilfried Tsonga', 'Denis Istomin', 'Andrey Kuznetsov', 'Evgeny Donskoy', 'Roberto Bautista Agut', 'Andrey Rublev', 'Matthias Bachinger', 'Mischa Zverev', 'Marco Chiudinelli', 'Teymuraz Gabashvili', 'Robin Haase', 'Andrea Arnaboldi', 'Leonardo Mayer']"
170,Marinko Matosevic,"['Marcel Granollers', 'Liam Broady', 'Edouard Roger Vasselin', 'Jarkko Nieminen', 'Dustin Brown', 'Steve Johnson', 'Simone Bolelli', 'Vasek Pospisil', 'Andy Murray', 'David Ferrer', 'Ruben Bemelmans', 'Sam Querrey', 'Albert Ramos', 'Richard Gasquet', 'Yoshihito Nishioka', 'Thomaz Bellucci']","['Alexander Kudryavtsev', 'Marcel Granollers', 'John Isner']"
171,Marius Copil,"['Mikhail Kukushkin', 'Gilles Muller', 'Mikhail Youzhny', 'Stanislas Wawrinka', 'Roberto Bautista Agut']","['Jarkko Nieminen', 'Guillermo Garcia Lopez', 'Pablo Andujar']"
172,Markus Eriksson,['Benoit Paire'],['Bye']
173,Marsel Ilhan,"['Feliciano Lopez', 'Jarkko Nieminen', 'Kevin Anderson', 'Gilles Muller', 'Novak Djokovic', 'Benoit Paire', 'Santiago Giraldo', 'Stanislas Wawrinka', 'Ernests Gulbis', 'Martin Klizan', 'Rafael Nadal', 'Kenny De Schepper', 'Roberto Bautista Agut', 'Stanislas Wawrinka']","['James Ward', 'Jerzy Janowicz', 'Alexander Zverev', 'Feliciano Lopez', 'Radek Stepanek', 'Andrey Kuznetsov', 'Adrian Mannarino', 'Tatsuma Ito']"
174,Martin Fischer,['Albert Montanes'],['Bye']
175,Martin Klizan,"['Andreas Haider Maurer', 'Ivo Karlovic', 'Novak Djokovic', 'Leonardo Mayer', 'Kei Nishikori', 'Fernando Verdasco', 'Victor Estrella', 'Sam Querrey', 'Lukas Rosol', 'Novak Djokovic', 'Grigor Dimitrov', 'Viktor Troicki', 'Jeremy Chardy', 'Federico Delbonis', 'Simone Bolelli', 'Paul Henri Mathieu', 'Joao Sousa', 'Steve Johnson', 'Jiri Vesely', 'Andreas Seppi', 'Marcel Granollers', 'Alexandr Dolgopolov', 'Viktor Troicki', 'Joao Souza', 'Gilles Simon', 'Fabio Fognini', 'Gilles Simon']","['Pablo Carreno Busta', 'Dominic Thiem', 'Ze Zhang', 'Juan Monaco', 'Victor Estrella', 'Tommy Robredo', 'Daniel Gimeno Traver', 'Pablo Andujar', 'Paolo Lorenzi', 'Jurgen Melzer', 'Alexandr Dolgopolov', 'Florian Mayer', 'Dusan Lajovic', 'Tatsuma Ito', 'Marsel Ilhan', 'Thomaz Bellucci', 'Dustin Brown', 'Nicolas Almagro', 'Damir Dzumhur', 'Daniel Gimeno Traver', 'Paul Henri Mathieu', 'Vasek Pospisil', 'Guillermo Garcia Lopez', 'Francis Tiafoe']"
176,Marton Fucsovics,"['Andrey Kuznetsov', 'Daniel Gimeno Traver']",['Bye']
177,Mate Delic,"['Aljaz Bedene', 'Ivan Dodig']",['Bye']
178,Mate Pavic,['Alexander Zverev'],['Bye']
179,Matteo Donati,['Tomas Berdych'],['Santiago Giraldo']
180,Matteo Trevisan,['Paolo Lorenzi'],['Bye']
181,Matthew Ebden,"['Austin Krajicek', 'John Isner', 'Tatsuma Ito', 'Grigor Dimitrov', 'Victor Estrella', 'Sam Querrey']",['Blaz Rola']
182,Matthias Bachinger,"['Jarkko Nieminen', 'Go Soeda', 'Marin Cilic', 'Marcel Granollers']","['Pablo Cuevas', 'Peter Gojowczyk']"
183,Maxime Hamou,"['Pablo Carreno Busta', 'Jerzy Janowicz']",['Bye']
184,Maxime Teixeira,['Denis Istomin'],['Bye']
185,Maximilian Marterer,"['Leonardo Mayer', 'Andreas Haider Maurer']",['Bye']
186,Maximo Gonzalez,"['Albert Montanes', 'Lukas Lacko', 'Juan Monaco', 'Fernando Verdasco', 'Aljaz Bedene', 'Dusan Lajovic']",['Bye']
187,Michael Berrer,"['Adrian Mannarino', 'Gilles Simon', 'Alejandro Falla', 'Bernard Tomic', 'Tommy Robredo', 'Steve Johnson', 'Damir Dzumhur', 'Benjamin Becker', 'Ivan Dodig', 'Jeremy Chardy']","['Victor Estrella', 'Richard Gasquet', 'James Ward', 'Marcelo Demoliner', 'Victor Estrella', 'Rafael Nadal']"
188,Michael Russell,['David Goffin'],['Bye']
189,Michael Venus,"['Steve Johnson', 'Lucas Pouille']",['Alejandro Gonzalez']
190,Michal Przysiezny,"['Joao Sousa', 'Taro Daniel']",['Bye']
191,Mikael Ymer,['Alexander Zverev'],['Bye']
192,Mikhail Kukushkin,"['Tommy Robredo', 'Daniel Gimeno Traver', 'Andy Murray', 'David Ferrer', 'Nick Kyrgios', 'Vasek Pospisil', 'Gilles Simon', 'Austin Krajicek', 'Milos Raonic', 'Viktor Troicki', 'Gael Monfils', 'Marin Cilic', 'Alexander Zverev', 'Malek Jaziri', 'Kevin Anderson', 'Philipp Kohlschreiber', 'Daniel Gimeno Traver', 'Andrey Kuznetsov', 'Tommy Haas', 'Denis Istomin', 'Steve Johnson', 'Roger Federer', 'Dudi Sela']","['Joao Souza', 'Aleksandr Nedovyesov', 'Ramkumar Ramanathan', 'Radu Albot', 'Steve Johnson', 'Marius Copil', 'Denis Istomin', 'Pablo Cuevas', 'Juan Martin Del Potro', 'Leonardo Mayer', 'Jiri Vesely', 'Yen Hsun Lu', 'Grigor Dimitrov', 'Nicolas Mahut', 'Albert Ramos', 'Andrey Rublev']"
193,Mikhail Ledovskikh,['Sergiy Stakhovsky'],['Bye']
